15.6,127
11.2,100
18.6,101
16.8,113
21,118
15.2,112
14.6,96
17.6,121
14,97
16,98
18,105
16.8,95
16,89
11.4,91
12,102
17.2,112
20,120
20,115
16.5,108
15.2,116
16,126
18.6,102
16.6,101
17.8,95
20,96
25,124
16.1,93
17,94
19.4,107
16,96
22.5,101
19.1,106
17.2,104
19.5,132
19,110
20.5,100
15.5,110
18,98
15.5,98
13.2,128
16.2,117
18.8,90
15,101
17.5,103
17,107
18.9,111
16,102
16,101
18.8,103
17.4,108
12.4,92
17.2,94
14,111
17.1,115
16.4,118
20.5,116
16.3,118
16.8,102
16.7,108
10.6,88
16,101
16.8,100
18,94
19,87
19,104
18.1,98
15,78
19.6,78
17,110
16.8,151
20.4,103
25,86
24,87
30,139
21,101
16,97
16,86
18,112
14.8,136
23,101
19,86
18.8,86
24,78
22.5,85
18,94
18,99
22.8,90
26,88
21.6,84
23.6,70
18.5,81
22,86
20.7,80
18,88
18,98
19,162
21.5,134
16,85
18.5,88
18,88
17.5,97
18.5,88
21,98
19.5,86
20.5,85
22,90
19,80
22.5,84
19,92
20,94
19.5,107
21,88
20,103
21,88
22.5,84
21.5,85
20.8,86
22.5,108
16,80
19,87
20,96
28.5,119
26.5,102
21.5,86
21,82
21,85
21.5,86
28.5,92
24.5,88
22,80
18,122
20,104
24,98
21.5,106
17.5,85
18.5,94
21,89
25,96
19.5,88
24,101
21,96
20,89
23.5,97
20,92
18.5,112
21,102
20,80
21.5,86
21.5,92
21.5,113
24,123
22,112
25.5,116
18.5,98
20,103
22,93
19.5,89
27,97
25,98
22.5,89
21,88
20,107
22,106
18.5,106
22,90
22.5,88
23,111
19.5,88
24.5,105
25,112
19,96
19.5,86
20,91
20.5,95
23,102
20,120
20,120
24.5,96
